Tap Ninja - Idle game,"17 Mar, 2022","Overall user reviews:
Very Positive
						(1,013 reviews)","Casual, Clicker, Idler, Ninja, Collectathon, Pixel Graphics, 2D, Roguelike, Side Scroller, Action, Action-Adventure, Adventure, Singleplayer, Medieval, Hack and Slash, RPG, PvE, Free to Play, Action Roguelike, Indie"
Leaf Blower Revolution - Idle Game,"4 Dec, 2020","Overall user reviews:
Overwhelmingly Positive
						(15,023 reviews)","Casual, Idler, Free to Play, Pixel Graphics, Clicker, Relaxing, 2D, Top-Down, Singleplayer, Indie, Funny, Psychological Horror, Great Soundtrack"
AdVenture Capitalist,"30 Mar, 2015","Overall user reviews:
Very Positive
						(51,594 reviews)","Free to Play, Clicker, Capitalism, Singleplayer, Casual, Management, Simulation, Indie, Funny, 2D, Point & Click, Strategy, Adventure, Touch-Friendly, Addictive, Real-Time, Idler, Comedy, Family Friendly, Memes"
Covid-19 - Corona Clicker,"4 Jul, 2020",None,"Free to Play, Strategy, Action, Simulation, Idler"
Sakura Clicker - Wedding Outfit,"11 Aug, 2015","Overall user reviews:
5 user reviews","Indie, Casual"
Sakura Clicker - Chocolate Outfit,"11 Aug, 2015","Overall user reviews:
7 user reviews","Casual, Indie"
Achievement Clicker 2019 - Soundtrack,"13 Apr, 2018","Overall user reviews:
3 user reviews","Indie, Casual, Simulation, Strategy, Adventure"
Achievement Clicker 2018 - Soundtrack,"26 Jan, 2018","Overall user reviews:
3 user reviews","Strategy, Indie, Casual, Simulation"
Sakura Clicker - Cute Bikini,"29 Jul, 2015","Overall user reviews:
6 user reviews",Indie
Sakura Clicker - Sword Weapon,"11 Aug, 2015","Overall user reviews:
4 user reviews","Indie, Casual"
Idle Monster TD: Evolved,"11 Feb, 2022","Overall user reviews:
Mostly Positive
						(307 reviews)","Early Access, Tower Defense, Idler, Strategy, Auto Battler, Time Management, Clicker, Fantasy, PvE, Team-Based, Deckbuilding, 3D, Magic, Combat, Management, Tactical, Casual, Cute, Colorful, Resource Management"
Sakura Clicker - Machiko's Outfit,"29 Jul, 2015","Overall user reviews:
7 user reviews",Indie
Sakura Clicker - Maeko's Outfit,"29 Jul, 2015","Overall user reviews:
8 user reviews",Indie
Sakura Clicker - Bow Weapon,"11 Aug, 2015","Overall user reviews:
5 user reviews","Indie, Casual"
Sakura Clicker - Tribal Outfit,"11 Aug, 2015","Overall user reviews:
3 user reviews","Indie, Casual"
Sakura Clicker - Knight Outfit,"11 Aug, 2015","Overall user reviews:
7 user reviews","Casual, Indie"
Sakura Clicker - Axe Weapon,"11 Aug, 2015","Overall user reviews:
4 user reviews","Indie, Casual"
Sakura Clicker - Kunoichi Outfit,"11 Aug, 2015","Overall user reviews:
2 user reviews","Indie, Casual"
Clicker Heroes 2 Soundtrack,"17 Jul, 2018","Overall user reviews:
3 user reviews","Strategy, Action, Adventure, RPG, Indie, Casual, Simulation"
Clicker: Mining Simulator - Soundtrack,"7 Mar, 2018","Overall user reviews:
2 user reviews","Indie, Casual, Simulation"
Clicker Planet - Bluestone Project,"10 Apr, 2018",None,"Action, Indie, Casual"
Creature Clicker - Deluxe Pack,"28 Apr, 2017","Overall user reviews:
2 user reviews","Action, Indie, Casual"
Creature Clicker - Starter Pack,"28 Apr, 2017","Overall user reviews:
1 user reviews","Action, Indie, Casual"
Creature Clicker - Supporter Pack,"28 Apr, 2017",None,"Action, Indie, Casual"
Moncage,"15 Nov, 2021","Overall user reviews:
Overwhelmingly Positive
						(3,095 reviews)","Puzzle, Casual, Indie, Singleplayer, Drama, Adventure, Surreal, Atmospheric, Cartoon, Abstract, Experimental, Exploration, Sandbox, Clicker, 3D Platformer, Puzzle Platformer, 3D, First-Person, Dungeon Crawler, Simulation"
Capybara Spa,"14 Mar, 2022","Overall user reviews:
Very Positive
						(378 reviews)","Simulation, Casual, Point & Click, Sandbox, Time Management, Clicker, Farming Sim, Cute, 3D, Management, Agriculture, Relaxing, Building, Colorful, Stylized, Nature, Family Friendly, Base Building, Resource Management, Singleplayer"
Christmas Tree Clicker Demo,"12 Nov, 2021",None,
Defense Clicker - Ressource Collector,"31 Oct, 2017","Overall user reviews:
6 user reviews","Strategy, Casual"
Clicker Heroes: Red-Nosed Clickdeer,"6 Dec, 2016","Overall user reviews:
9 user reviews","RPG, Indie, Casual, Adventure, Free to Play, Strategy, Simulation"
Cell to Singularity - Evolution Never Ends,"3 Nov, 2021","Overall user reviews:
Very Positive
						(14,317 reviews)","Clicker, Free to Play, Simulation, Science, Casual, Historical, Idler, Early Access, Singleplayer, Education, Dinosaurs, God Game, Sci-fi, Space, Sandbox, Point & Click"
Sakura Clicker - Dual Swords Weapon,"11 Aug, 2015","Overall user reviews:
8 user reviews","Indie, Casual"
Idle Big Devil,"3 Nov, 2021","Overall user reviews:
Very Positive
						(3,755 reviews)","Free to Play, Strategy, Casual, Idler, Indie, Adventure, Clicker, Card Game, Sexual Content, Early Access, Anime"
Idle Wizard,"24 Jan, 2019","Overall user reviews:
Very Positive
						(1,029 reviews)","Idler, Free to Play, Clicker, Casual, RPG, Magic"
Idling to Rule the Gods,"27 May, 2016","Overall user reviews:
Very Positive
						(1,249 reviews)","Free to Play, Indie, Simulation, Casual, Idler, Singleplayer, Strategy, Text-Based, Choose Your Own Adventure, God Game, Management, Clicker, Fantasy, Anime, RPG, Time Management, 2D, Mythology, Funny, Sci-fi"
Idle Slayer,"21 Dec, 2020","Overall user reviews:
Very Positive
						(2,562 reviews)","Casual, Idler, Clicker, 2D Platformer, Experimental, 2D, Pixel Graphics, Free to Play, Indie, Old School, Retro, Medieval, Nonlinear, Singleplayer, Strategy, Procedural Generation, Score Attack"
